market_demand_index,key_point
86.73295021425665,Factory 1_City D_Type A_2023-01-01
68.11459871200118,Factory 1_City C_Type C_2023-01-02
119.0820855620362,Factory 1_City D_Type B_2023-01-03
103.25495340318282,Factory 1_City C_Type A_2023-01-04
58.546156829047135,Factory 1_City A_Type A_2023-01-05
119.84183395342592,Factory 1_City C_Type C_2023-01-06
65.41687332958838,Factory 1_City B_Type A_2023-01-07
74.44467022288626,Factory 1_City B_Type A_2023-01-08
87.97781613884295,Factory 1_City D_Type B_2023-01-09
117.66583733305688,Factory 1_City C_Type C_2023-01-10
106.70793762754266,Factory 1_City B_Type A_2023-01-11
82.008561312961,Factory 1_City D_Type C_2023-01-12
69.595372786216,Factory 1_City D_Type B_2023-01-13
112.06762711086331,Factory 1_City B_Type C_2023-01-14
52.72741926171636,Factory 1_City D_Type C_2023-01-15
66.70178018532381,Factory 1_City B_Type C_2023-01-16
57.94252214122136,Factory 1_City A_Type B_2023-01-17
116.30740041687012,Factory 1_City C_Type C_2023-01-18
117.4255777608428,Factory 1_City C_Type B_2023-01-19
77.17878687929105,Factory 1_City D_Type C_2023-01-20
119.1093290520461,Factory 1_City A_Type A_2023-01-21
64.50593543056395,Factory 1_City A_Type B_2023-01-22
80.62324454166104,Factory 1_City C_Type C_2023-01-23
112.77518869342084,Factory 1_City C_Type A_2023-01-24
55.916190537647736,Factory 1_City B_Type B_2023-01-25
87.47348948108665,Factory 1_City B_Type A_2023-01-26
63.0596916835914,Factory 1_City D_Type C_2023-01-27
101.53730285889418,Factory 1_City E_Type C_2023-01-28
108.14335854514104,Factory 1_City E_Type C_2023-01-29
93.68710809272864,Factory 1_City A_Type B_2023-01-30
99.984485755653,Factory 1_City E_Type C_2023-01-31
91.0360882411758,Factory 1_City E_Type A_2023-02-01
71.80109848319489,Factory 1_City D_Type A_2023-02-02
90.64118451946304,Factory 1_City E_Type B_2023-02-03
86.7073188529306,Factory 1_City D_Type B_2023-02-04
88.97051093483563,Factory 1_City C_Type B_2023-02-05
