batch_quality_pass_pcnt,waste_generated_kg,water_usage_liters,production_volume_units,defect_rate_pcnt,factory,date,key_point
88.47082230421823,36.03553891795411,1225.6463161084012,1199,2.599085529881075,Factory 1,2023-01-01,Factory 1_City D_Type A_2023-01-01
92.9258432331678,25.416660101596644,1063.8650088808567,1202,4.026854323784995,Factory 1,2023-01-02,Factory 1_City C_Type C_2023-01-02
90.8384355137026,31.58768529556319,3347.004662655393,1092,3.63402585824595,Factory 1,2023-01-03,Factory 1_City D_Type B_2023-01-03
97.38423383533184,36.75365010654429,3663.6894264699863,1391,1.8236742809799131,Factory 1,2023-01-04,Factory 1_City C_Type A_2023-01-04
87.79727553767697,16.448851490160177,4718.790609370292,1127,2.557706569002507,Factory 1,2023-01-05,Factory 1_City A_Type A_2023-01-05
93.15628462491512,32.32408008069365,2615.344684232163,1748,3.403054034104091,Factory 1,2023-01-06,Factory 1_City C_Type C_2023-01-06
92.77057540071168,35.29223322374318,3534.118843043578,988,3.5728132143073976,Factory 1,2023-01-07,Factory 1_City B_Type A_2023-01-07
90.28751150272376,30.66543565084057,2043.316699321636,1127,1.7524198949851466,Factory 1,2023-01-08,Factory 1_City B_Type A_2023-01-08
97.8625354066978,27.93696571944989,4977.829850443282,1062,4.176139665531339,Factory 1,2023-01-09,Factory 1_City D_Type B_2023-01-09
83.70961676816285,17.084427176281956,4761.8343374116575,1779,2.955839622828947,Factory 1,2023-01-10,Factory 1_City C_Type C_2023-01-10
81.33790648614134,21.81162353675755,2290.203056954402,1184,2.082821860536127,Factory 1,2023-01-11,Factory 1_City B_Type A_2023-01-11
92.7684965706088,44.41618473246701,2001.0054420634565,1155,4.427556238387604,Factory 1,2023-01-12,Factory 1_City D_Type C_2023-01-12
88.34045699340709,37.83896824374792,2635.81177765708,746,1.6431483830749465,Factory 1,2023-01-13,Factory 1_City D_Type B_2023-01-13
80.8740501984133,13.91336642604006,2966.463500467329,1515,3.476080894856835,Factory 1,2023-01-14,Factory 1_City B_Type C_2023-01-14
95.2180365989656,42.82557902975822,3503.758680406291,1469,1.5698158072074777,Factory 1,2023-01-15,Factory 1_City D_Type C_2023-01-15
91.9499140888178,17.097581751188912,4002.4590065634334,561,2.989683572049233,Factory 1,2023-01-16,Factory 1_City B_Type C_2023-01-16
98.21228844078075,29.300837985705694,2972.10263108722,1686,4.163112548274899,Factory 1,2023-01-17,Factory 1_City A_Type B_2023-01-17
91.74614320300896,42.87440237161425,3824.968908625985,944,2.633962770366764,Factory 1,2023-01-18,Factory 1_City C_Type C_2023-01-18
80.21571925058096,35.968412084642544,3984.179517061693,702,4.257347145835978,Factory 1,2023-01-19,Factory 1_City C_Type B_2023-01-19
84.11937302514333,39.48402823372077,4661.017366676426,1001,1.5969478533289514,Factory 1,2023-01-20,Factory 1_City D_Type C_2023-01-20
82.53051737925125,46.76706207342238,1330.9936801412246,1294,3.207244407497243,Factory 1,2023-01-21,Factory 1_City A_Type A_2023-01-21
96.42972514884602,40.75949660722042,4779.062919529712,749,3.06092310271138,Factory 1,2023-01-22,Factory 1_City A_Type B_2023-01-22
81.67975624394728,41.38673055777238,3557.445427896969,1041,3.3662601006836206,Factory 1,2023-01-23,Factory 1_City C_Type C_2023-01-23
89.35020956851122,23.150064411500328,3533.6034172669038,1926,3.965371910533348,Factory 1,2023-01-24,Factory 1_City C_Type A_2023-01-24
